zipcode,concelho,distrito
2630-000,,
2600-407,Vila Franca de Xira,Lisboa
2625-736,Vila Franca de Xira,Lisboa
2615-000,,
2600-536,,
2625-000,,
2600-000,,
3070-673,,
3070-000,,
3070-016,,
3200-000,,
3200-199,,
3130-000,,
3420-000,,
3150-350,Condeixa-a-Nova,Coimbra
3045-530,Coimbra,Coimbra
3045-414,,
3045-000,Coimbra,Coimbra
3040-031,Coimbra,Coimbra
3040-000,,
3030-258,,
3030-770,Coimbra,Coimbra
3030-294,,
3045-409,,
3045-231,,
3020-268,,
3040-310,,
3020-433,,
3040-012,,
3030-000,,
3045-222,,
3040-196,,
3030-452,,
3025-000,,
3000-000,,
3020-000,,
3060-021,,
3060-356,Cantanhede,Coimbra
3060-000,,
3150-000,,
3080-304,,
3080-000,,
3090-000,,
3080-217,,
3220-000,,
3140-000,,
2835-000,,
2860-000,,
2820-000,,
2815-698,,
2815-671,,
2825-000,,
2825-781,,
2815-000,,
2800-000,,
2815-766,,
2800-546,,
2810-362,,
2805-000,,
2810-000,,
2840-432,,
2845-000,,
2840-056,,
2840-609,,
2865-000,,
2840-000,,
2865-065,,
2840-010,,
2855-000,,
2855-832,,
2870-170,,
2870-000,,
2870-083,,
2955-000,,
2950-000,,
2900-000,,
2900-620,,
2925-000,,
2925-806,,
2925-795,,
2910-000,,
2830-000,,
2835-024,,
2835-021,,
7570-007,,
2970-000,,
2970-140,,
2975-000,,
2890-000,,
2890-461,,
2890-396,,
7595-000,,
7580-000,,
5300-670,,
5300-000,Bragança,Bragança
5370-529,,
5370-511,,
5360-000,,
5350-000,,
5180-182,Freixo de Espada à Cinta,Bragança
2495-473,,
2495-000,,
2490-000,Ourém,Santarém
2490-513,,
2300-000,,
2300-348,,
2305-000,,
2300-314,,
2150-000,,
2150-120,,
2070-000,,
2100-000,,
2200-000,,
2205-000,,
2200-386,,
2200-021,,
2380-000,,
2080-000,,
2090-000,,
2005-000,,
2025-000,,
2005-066,,
2000-000,,
2005-324,,
2130-025,,
2135-000,,
2130-109,,
2130-243,,
2130-000,,
2130-217,,
2130-234,,
2130-021,,
2130-022,,
2040-000,,
2330-088,,
2330-086,,
2330-000,,
2330-085,,
2120-000,,
5400-422,,
5400-000,,
5430-000,,
5000-000,,
5050-000,,
4880-000,,
5450-000,,
5030-000,,
7350-000,,
7350-297,,
7350-226,,
7350-301,,
7450-000,,
7300-000,,
9760-127,,
9760-025,Praia da Vitória,Ilha Terceira
9760-037,,
9760-287,,
9760-035,Praia da Vitória,Ilha Terceira
9760-032,Praia da Vitória,Ilha Terceira
9760-191,,
9760-023,Praia da Vitória,Ilha Terceira
9760-028,Praia da Vitória,Ilha Terceira
9760-031,Praia da Vitória,Ilha Terceira
9760-426,,
9760-520,,
9760-198,,
9760-505,,
9760-213,,
9760-014,Praia da Vitória,Ilha Terceira
9760-017,Praia da Vitória,Ilha Terceira
9760-011,Praia da Vitória,Ilha Terceira
9760-039,Praia da Vitória,Ilha Terceira
9760-575,,
9760-273,,
9760-419,,
9760-016,Praia da Vitória,Ilha Terceira
9760-286,,
9760-012,Praia da Vitória,Ilha Terceira
9760-019,Praia da Vitória,Ilha Terceira
9760-851,,
9760-192,,
